customer_id,flight_id,checkin_wait_min,baggage_wait_min,inflight_service_rating,issue_checkin,issue_baggage,issue_inflight,nps_score,total_issues
141,11059,3,29,2,0,0,0,5,0
142,16668,7,17,2,0,0,0,6,0
143,19914,8,7,4,0,0,0,9,0
144,13157,5,16,1,0,0,0,10,0
145,15915,4,37,1,0,0,0,0,0
146,19789,5,17,1,1,0,1,1,2
147,12693,15,22,5,1,0,0,6,1
148,13627,4,17,3,0,1,0,8,1
149,19555,22,2,1,1,1,0,6,2
150,15450,5,21,3,0,0,0,10,0
151,11663,23,2,3,0,0,0,4,0
152,19721,14,26,2,0,0,0,0,0
153,15592,3,7,4,1,0,0,4,1
154,17392,15,13,5,0,0,0,10,0
155,11306,0,8,3,0,0,0,3,0
156,16776,20,1,5,0,0,0,7,0
157,15864,7,4,2,0,1,0,6,1
158,19474,0,49,1,0,0,0,8,0
159,17526,8,38,3,0,0,0,1,0
160,18901,29,4,4,0,1,0,8,1
161,15575,0,67,2,0,0,0,6,0
162,15530,6,22,5,0,1,0,10,1
163,14413,11,11,1,1,0,0,9,1
164,13748,13,0,5,0,1,0,6,1
165,10663,4,27,4,0,0,0,10,0
166,11998,1,9,3,0,0,0,1,0
167,17994,0,24,4,0,0,0,9,0
168,11495,6,21,5,1,1,0,6,2
169,13304,4,21,5,0,0,1,6,1
170,13763,23,14,4,0,0,0,3,0
171,15232,0,4,4,1,0,0,7,1
172,11853,9,4,4,0,1,0,2,1
173,16585,0,4,1,0,0,0,8,0
174,11291,1,0,5,0,0,0,5,0
175,13581,4,10,2,0,0,0,8,0
176,17554,4,14,1,0,0,0,7,0
177,17280,9,23,1,1,0,0,9,1
178,11636,19,1,1,0,0,0,9,0
179,13696,8,9,2,0,0,0,4,0
180,10698,24,0,4,0,0,0,0,0
181,14737,17,1,5,0,1,0,6,1
182,10854,7,0,3,0,0,0,10,0
183,18164,14,15,3,0,0,0,7,0
184,15855,8,1,5,0,0,0,8,0
185,17392,0,15,2,0,0,0,10,0
186,16528,10,3,3,0,1,0,10,1
187,15249,0,25,1,0,0,0,7,0
188,15172,7,20,3,1,1,0,7,2
189,11707,9,37,5,0,0,0,9,0
190,15791,0,25,1,0,0,0,9,0
191,19925,2,32,3,0,0,0,8,0
192,15535,19,23,5,0,1,0,7,1
193,14931,7,14,2,1,1,0,8,2
194,13510,2,2,5,0,0,0,6,0
195,10202,9,3,2,0,0,1,9,1
196,14218,7,2,1,1,0,0,8,1
197,18958,5,11,5,0,0,0,4,0
198,14389,29,8,4,0,0,0,4,0
199,12327,9,24,4,1,0,1,9,2
200,18004,3,36,4,0,0,1,8,1
201,12931,12,6,4,0,0,0,6,0
202,17777,17,8,4,0,0,0,4,0
203,10197,1,42,2,0,1,0,8,1
204,17125,1,3,5,0,0,0,4,0
205,11930,1,18,1,0,0,0,7,0
206,16287,9,3,4,0,0,0,8,0
207,18800,7,13,4,0,0,0,7,0
208,19339,7,3,1,0,0,0,10,0
209,14282,22,25,1,0,1,0,0,1
210,12511,11,9,4,1,0,0,5,1
211,19986,1,2,2,0,0,0,1,0
212,10659,3,3,1,0,0,0,4,0
213,12811,4,8,5,0,0,0,2,0
214,17098,4,39,5,0,1,0,8,1
215,16546,8,17,2,0,0,0,6,0
216,19561,17,8,3,0,0,0,10,0
217,11986,2,4,2,0,0,0,0,0
218,18338,6,9,4,0,0,1,8,1
219,12911,12,16,3,0,0,1,10,1
220,11734,4,18,4,0,1,0,3,1
221,11843,1,4,5,1,0,0,6,1
222,18680,5,15,1,0,0,0,8,0
223,12976,0,12,4,1,0,0,8,1
224,11959,22,38,5,1,1,0,7,2
225,15759,0,32,2,1,0,0,5,1
226,16694,4,18,4,1,0,0,8,1
227,12385,6,15,5,1,0,1,8,2
228,14736,33,3,1,0,0,1,3,1
229,11802,1,22,4,0,0,1,10,1
230,18155,0,6,5,0,1,0,7,1
231,18120,0,3,4,1,0,1,7,2
232,16616,1,5,1,0,0,0,9,0
233,15534,1,21,4,0,1,0,8,1
234,14061,7,1,4,0,0,0,1,0
235,10262,1,7,5,1,0,0,7,1
236,16287,0,8,3,0,0,1,9,1
237,18815,14,0,4,0,1,0,8,1
238,19208,3,2,3,0,0,0,10,0
239,12049,3,21,2,0,0,0,0,0
240,15423,2,21,4,0,0,0,5,0
241,14548,29,4,3,0,0,0,7,0
242,13108,1,24,2,0,0,0,8,0
243,17158,18,17,5,1,1,0,5,2
244,17400,11,6,4,0,0,0,9,0
245,13170,0,16,5,0,0,0,3,0
246,19874,34,39,2,0,0,0,0,0
247,12255,2,7,5,0,0,0,10,0
248,11154,0,3,5,0,0,1,6,1
249,14499,14,34,1,0,1,0,10,1
250,16295,9,11,2,1,1,0,5,2
251,16197,7,1,5,0,1,0,1,1
252,19888,1,10,3,0,1,0,9,1
253,11648,5,8,2,1,0,0,9,1
254,15539,12,23,1,1,1,0,7,2
255,19637,2,9,4,0,0,0,1,0
256,14199,2,3,5,0,1,1,8,2
257,18445,0,13,3,1,0,0,4,1
258,12557,1,9,1,1,1,0,9,2
259,15592,16,3,2,1,0,1,5,2
260,10098,4,10,5,0,0,0,9,0
261,12200,33,20,1,0,0,0,6,0
262,12961,4,0,1,0,0,0,7,0
263,14973,10,11,3,0,0,0,9,0
264,14433,2,5,4,1,1,0,1,2
265,12869,3,4,4,1,0,0,9,1
266,10956,1,5,4,0,0,0,3,0
267,18352,3,5,2,0,0,0,6,0
268,15699,6,21,1,0,0,0,7,0
269,16944,38,3,2,0,1,0,10,1
270,14493,8,15,1,0,0,0,0,0
271,19492,1,1,3,0,0,0,7,0
272,14911,0,36,3,0,0,0,8,0
273,13987,1,11,2,0,0,0,5,0
274,19719,6,14,2,0,0,0,5,0
275,16015,11,4,3,1,0,0,7,1
276,11218,22,6,5,0,0,0,4,0
277,14496,0,3,4,1,0,0,7,1
278,14735,5,32,4,0,0,0,9,0
279,14555,5,8,3,0,0,0,9,0
280,19146,8,11,4,0,0,0,6,0
281,18050,6,15,5,0,0,0,8,0
282,13446,9,5,5,0,0,0,0,0
283,11045,8,15,1,0,1,0,7,1
284,16893,0,13,2,0,0,1,10,1
285,11693,12,14,4,0,0,0,5,0
286,13436,1,8,5,0,0,0,7,0
287,18754,9,5,2,0,0,0,9,0
288,15895,4,3,2,0,0,0,7,0
289,13354,5,20,1,0,0,0,6,0
290,10225,18,11,2,0,0,0,3,0
291,14893,17,7,2,0,1,1,7,2
292,17022,13,34,3,1,1,0,5,2
293,19151,5,0,1,0,0,1,8,1
294,15600,10,22,1,1,0,0,6,1
295,17996,5,72,4,0,0,0,9,0
296,19007,16,26,2,0,0,0,4,0
297,17683,4,19,4,0,1,0,6,1
298,14642,28,5,5,0,0,0,7,0
299,17679,21,3,2,1,1,0,2,2
300,18208,10,15,5,0,0,0,7,0
301,17339,2,4,3,0,0,0,5,0
302,19435,1,2,2,1,0,0,4,1
303,12205,15,18,4,0,0,0,3,0
304,11069,1,4,4,0,0,1,5,1
305,13444,15,29,2,0,0,0,10,0
306,11060,5,22,4,1,0,0,0,1
307,12327,4,22,2,0,0,0,9,0
308,13420,18,17,1,1,0,0,6,1
309,10301,7,25,4,0,0,0,7,0
310,10606,6,19,2,0,0,0,7,0
311,13170,6,11,2,0,0,0,10,0
312,10699,3,4,4,0,0,0,9,0
313,15088,12,26,1,0,0,0,10,0
314,19331,2,22,4,0,0,0,9,0
315,10190,22,7,2,1,0,0,5,1
316,10980,17,0,1,0,0,0,10,0
317,12975,3,12,5,0,0,0,10,0
318,16102,10,0,3,1,0,0,2,1
319,11184,6,31,4,0,0,0,10,0
320,13327,3,39,2,0,0,0,8,0
321,13394,35,2,1,0,0,0,10,0
322,18319,0,13,1,0,0,0,10,0
323,11816,2,1,5,0,0,0,10,0
324,15854,5,15,4,1,0,0,10,1
325,16709,5,5,1,0,0,0,2,0
326,10569,7,13,5,0,1,0,3,1
327,15442,11,5,2,0,0,0,2,0
328,11895,7,1,5,0,0,0,2,0
329,12733,7,6,4,0,0,0,6,0
330,13863,0,1,5,0,0,0,8,0
331,17455,3,10,1,0,0,0,6,0
332,14014,2,0,1,1,0,0,8,1
333,11686,2,8,3,0,1,0,9,1
334,13009,6,26,5,0,0,0,8,0
335,17806,1,21,2,0,0,0,7,0
336,10154,2,25,4,0,0,0,5,0
337,11409,2,30,3,1,1,0,2,2
338,10784,23,1,5,0,0,0,7,0
339,18096,23,1,2,0,0,0,8,0
340,17560,7,9,3,0,0,0,7,0
341,17343,20,26,1,0,1,0,8,1
342,17206,12,43,4,0,0,0,5,0
343,15596,7,0,5,0,0,0,1,0
344,15801,0,5,2,1,0,1,9,2
345,12806,11,2,1,0,0,0,4,0
346,10537,9,16,3,0,0,0,8,0
347,15986,7,12,4,0,0,0,9,0
348,11841,11,1,3,0,0,0,3,0
349,18716,5,7,3,0,0,0,7,0
350,16971,9,13,2,0,0,0,8,0
351,15625,21,18,1,0,0,0,9,0
352,12950,3,0,5,1,0,0,3,1
353,17992,9,26,2,0,0,0,9,0
354,14780,5,10,4,1,0,0,2,1
355,12368,8,20,3,0,0,0,7,0
356,16655,11,19,4,0,0,0,6,0
357,18173,0,2,2,0,0,0,4,0
358,14495,8,1,2,0,0,0,5,0
359,19163,2,15,5,0,0,1,3,1
360,16002,8,2,3,0,1,0,6,1
361,16614,5,22,2,0,0,0,0,0
362,19358,11,15,4,1,0,0,10,1
363,15919,1,22,5,0,0,1,3,1
364,10853,7,4,4,0,0,0,10,0
365,14146,2,4,3,1,0,0,9,1
366,13769,15,13,5,0,0,0,6,0
367,10574,21,0,5,0,0,0,7,0
368,11148,45,15,5,0,0,1,5,1
369,16293,12,21,1,0,0,0,10,0
370,16457,11,6,5,0,1,0,8,1
371,17509,1,17,4,0,0,1,10,1
372,19907,3,2,4,1,0,0,6,1
373,14777,5,4,3,0,0,1,10,1
374,13854,11,43,2,0,0,1,6,1
375,12491,19,51,2,0,0,0,9,0
376,13124,1,8,1,0,0,0,3,0
377,15691,20,32,5,1,1,0,8,2
378,13051,9,8,1,0,0,1,8,1
379,10004,7,4,3,0,0,1,8,1
380,15222,1,3,3,0,1,0,6,1
381,15315,0,31,2,0,0,0,8,0
382,14869,6,2,3,0,0,0,4,0
383,10876,8,10,5,0,0,0,7,0
384,19183,1,9,4,0,1,0,7,1
385,17027,6,16,3,0,0,0,5,0
386,14142,15,8,1,0,1,0,9,1
387,16966,14,3,5,0,0,0,2,0
388,17079,20,2,3,0,0,0,3,0
389,17987,3,11,3,1,0,0,7,1
390,16799,3,15,5,0,0,0,10,0
391,14465,11,10,3,1,0,0,7,1
392,10635,4,16,4,0,0,1,9,1
393,11693,0,1,2,0,0,0,7,0
394,19874,2,25,5,0,0,0,9,0
395,14752,4,10,1,0,0,0,5,0
396,18311,2,1,3,0,0,0,9,0
397,10830,3,7,2,0,0,0,6,0
398,15177,2,22,1,0,0,0,7,0
399,19561,0,27,1,0,1,0,3,1
400,18932,8,3,4,0,0,0,10,0
401,18308,7,14,2,0,0,0,8,0
402,15949,8,1,5,0,0,0,9,0
403,12838,1,0,2,0,0,0,4,0
404,11150,2,9,2,0,0,0,1,0
405,17560,7,14,1,0,0,0,5,0
406,11931,7,19,4,0,0,0,7,0
407,19204,5,4,4,0,1,0,9,1
408,11664,3,0,2,0,0,0,6,0
409,11081,19,7,2,0,0,0,5,0
410,10512,3,0,3,1,0,0,6,1
411,17805,4,1,1,0,0,0,8,0
412,15237,9,4,5,1,0,0,5,1
413,10559,6,6,5,0,0,0,10,0
414,13672,3,3,4,1,1,0,3,2
415,17404,4,10,1,1,0,0,9,1
416,13343,12,0,4,0,1,0,7,1
417,14070,2,1,5,0,1,0,4,1
418,19662,1,14,2,0,1,0,9,1
419,10580,3,1,1,0,0,1,6,1
420,17004,15,12,1,1,0,0,8,1
421,18130,0,0,3,1,0,0,8,1
422,13147,38,6,2,0,0,0,2,0
423,14249,6,2,2,1,1,0,9,2
424,11679,33,1,4,1,0,0,8,1
425,13506,22,10,1,0,0,0,9,0
426,17253,4,31,4,0,0,0,6,0
427,12744,1,0,2,0,0,0,4,0
428,19435,1,6,3,0,0,0,5,0
429,15188,2,14,1,0,0,1,10,1
430,12141,9,7,2,0,0,0,10,0
431,16617,2,19,3,0,0,0,7,0
432,12479,3,2,5,0,0,1,5,1
433,16484,4,38,2,1,0,1,8,2
434,19827,19,5,5,0,0,0,9,0
435,17421,1,5,4,0,0,0,9,0
436,19949,0,24,5,0,0,0,0,0
437,14452,0,9,2,0,1,0,0,1
438,15881,18,8,5,0,0,0,6,0
439,16665,8,15,1,0,1,0,3,1
440,12849,2,10,2,0,0,0,9,0
441,17390,1,2,3,1,0,0,7,1
442,16905,2,13,5,0,0,0,9,0
443,12489,0,1,1,0,0,0,3,0
444,19823,22,19,4,0,0,1,8,1
445,19207,12,54,4,1,0,0,7,1
446,19540,4,5,5,0,1,0,5,1
447,14611,16,7,4,1,0,0,7,1
448,12839,2,0,3,0,1,0,7,1
449,18527,10,0,2,1,0,0,10,1
450,15878,15,30,1,0,0,0,1,0
451,19087,3,1,5,0,0,0,9,0
452,16303,11,7,4,0,0,1,10,1
453,10851,2,20,2,1,0,0,8,1
454,11687,2,26,3,0,0,0,8,0
455,16833,0,8,4,1,1,0,4,2
456,12427,4,9,4,0,0,0,7,0
457,19760,10,13,1,0,0,0,8,0
458,14000,22,39,3,0,0,0,7,0
459,15052,7,11,3,0,0,0,6,0
460,12738,15,9,5,0,0,0,10,0
461,15732,13,0,1,0,0,0,7,0
462,15387,1,1,5,0,0,0,10,0
463,18002,5,10,1,1,0,1,7,2
464,15536,0,33,3,0,0,0,9,0
465,13913,9,24,1,0,0,0,9,0
466,11066,23,48,1,1,1,0,8,2
467,17723,1,9,1,0,0,0,0,0
468,14380,10,18,2,0,0,0,1,0
469,14107,8,22,2,0,0,1,7,1
470,15726,7,12,3,0,0,0,10,0
471,13373,3,4,1,0,1,0,7,1
472,18945,3,7,3,0,1,0,4,1
473,12082,0,23,2,1,0,0,5,1
474,18967,1,4,1,0,1,0,8,1
475,16748,0,30,5,0,1,1,7,2
476,19817,6,3,2,0,0,0,10,0
477,10417,0,16,2,0,1,0,7,1
478,18306,16,11,2,0,0,0,6,0
479,18808,5,16,1,1,0,0,7,1
480,13974,9,6,4,0,0,0,9,0
481,13267,4,32,5,1,0,0,7,1
482,10825,6,12,5,0,1,1,5,2
483,17668,22,4,3,0,0,0,5,0
484,15745,0,12,1,0,1,1,9,2
485,19708,2,4,2,0,0,0,1,0
486,10412,12,4,4,0,0,0,5,0
487,17543,0,6,1,1,0,0,3,1
488,17587,0,22,1,0,1,0,10,1
489,10728,3,8,4,0,0,0,2,0
490,17164,0,13,2,1,0,0,9,1
491,18867,7,5,1,0,0,0,8,0
492,15988,2,3,5,0,0,0,8,0
493,12504,18,37,5,0,1,1,9,2
494,12967,12,11,4,0,0,0,6,0
495,12786,9,32,2,1,0,0,6,1
496,11122,7,2,4,0,0,0,5,0
497,14079,15,1,1,1,0,0,7,1
498,11571,2,23,5,0,0,0,10,0
499,15073,16,13,3,0,0,0,10,0
500,15104,12,2,4,0,1,0,8,1
501,12143,11,3,3,1,0,0,10,1
502,19879,6,19,3,0,0,0,10,0
503,16806,2,7,5,0,1,0,9,1
504,17357,4,13,4,0,0,0,6,0
505,13440,12,4,3,0,0,1,7,1
506,13766,0,5,1,0,0,1,10,1
507,15644,12,56,2,0,0,0,8,0
508,12914,2,3,2,1,0,0,9,1
509,14968,1,8,5,0,1,0,2,1
510,15917,0,22,4,0,0,0,4,0
511,18787,0,3,4,0,0,0,5,0
512,10728,5,6,2,0,0,0,4,0
513,11365,1,11,1,1,0,0,10,1
514,14492,36,7,2,0,0,0,4,0
515,10698,6,7,2,0,0,0,7,0
516,17186,1,5,4,0,0,0,2,0
517,10395,9,10,3,1,0,0,3,1
518,17400,18,11,1,1,1,0,5,2
519,18082,10,12,4,0,0,0,10,0
520,14171,0,0,2,0,1,0,9,1
521,14360,18,11,3,0,0,0,8,0
522,12502,12,36,1,0,1,0,10,1
523,10717,1,9,5,0,0,0,10,0
524,12782,0,15,1,0,1,0,6,1
525,14946,6,9,1,0,1,0,5,1
526,15486,1,23,2,0,1,0,5,1
527,18335,14,31,2,0,1,0,0,1
528,14980,3,2,5,0,0,1,5,1
529,17266,19,6,5,0,0,0,6,0
530,14491,6,5,5,0,0,0,0,0
531,17192,1,6,4,0,0,0,10,0
532,15588,1,1,4,0,1,0,9,1
533,17651,6,20,2,0,0,0,5,0
534,13636,11,0,2,0,0,0,9,0
535,11167,12,9,5,0,0,1,9,1
536,11062,2,13,4,1,0,1,5,2
537,12156,1,2,3,0,0,0,8,0
538,17860,0,28,4,0,0,0,5,0
539,15161,9,21,2,0,0,0,1,0
540,15305,0,7,4,0,0,0,7,0
541,16541,4,6,2,0,0,0,6,0
542,14729,7,3,5,0,0,0,3,0
543,19348,22,15,5,0,1,0,7,1
544,17330,2,1,5,0,0,0,10,0
545,15334,2,13,3,0,0,0,8,0
546,18924,8,22,3,0,0,1,8,1
547,14330,7,3,2,0,0,0,9,0
548,18010,3,24,1,0,0,1,9,1
549,16801,21,0,3,0,0,0,0,0
550,14846,14,29,2,0,0,0,10,0
551,16731,2,1,4,0,0,0,9,0
552,17241,2,12,5,0,1,0,5,1
553,10953,5,3,5,0,0,0,7,0
554,12539,11,21,5,0,0,0,8,0
555,17056,0,8,2,0,1,1,3,2
556,11542,9,1,5,1,0,0,5,1
557,15293,8,10,3,0,0,0,0,0
558,11191,2,6,4,1,0,0,9,1
559,16313,9,12,5,0,0,0,0,0
560,16938,22,25,2,1,1,0,5,2
561,12681,0,6,4,0,0,0,1,0
562,19409,3,4,5,1,0,0,9,1
563,11540,4,0,1,0,1,0,10,1
564,16172,18,10,5,0,0,0,7,0
565,15541,26,6,3,0,0,0,3,0
566,19580,4,5,4,0,1,1,7,2
567,11365,11,2,3,0,0,0,9,0
568,18691,6,6,1,0,0,0,8,0
569,19872,6,49,1,0,0,0,9,0
570,18702,2,4,3,0,1,0,5,1
571,17494,1,10,4,0,0,0,1,0
572,14312,2,17,1,0,0,0,3,0
573,11324,6,16,1,0,0,0,10,0
574,19347,0,4,5,1,0,0,8,1
575,13141,19,11,2,1,0,0,8,1
576,17419,1,24,1,1,1,0,10,2
577,13486,1,0,4,1,0,0,9,1
578,11810,5,6,4,0,0,0,4,0
579,16588,9,3,5,1,0,0,1,1
580,12923,0,5,4,0,0,0,10,0
581,15301,3,6,5,0,1,0,10,1
582,14186,27,16,1,0,0,0,7,0
583,18905,2,1,1,0,0,0,10,0
584,15977,3,8,1,0,1,0,4,1
585,14268,14,9,1,0,0,0,2,0
586,14748,0,8,2,0,0,0,7,0
587,14849,4,15,2,0,0,0,9,0
588,19435,3,5,1,0,1,0,8,1
589,13709,3,34,4,0,0,0,8,0
590,19273,2,7,5,0,0,0,0,0
591,16619,0,10,3,0,1,0,5,1
592,18647,3,20,5,0,0,0,10,0
593,19086,0,3,3,1,0,0,3,1
594,19576,12,0,3,0,0,0,8,0
595,13072,4,14,1,1,0,0,9,1
596,16530,4,7,3,0,0,0,8,0
597,10504,17,27,1,0,0,0,10,0
598,11214,8,48,2,0,0,0,6,0
599,11531,0,6,4,0,1,0,8,1
600,17576,22,6,3,0,1,0,4,1
601,10823,2,6,4,0,0,0,6,0
602,10928,0,4,1,0,1,0,7,1
603,15029,11,18,3,0,0,0,4,0
604,10133,5,17,5,0,1,0,10,1
605,12105,4,7,2,1,0,0,8,1
606,13627,2,0,2,0,0,1,5,1
607,16316,6,4,3,0,0,0,3,0
608,11852,2,4,2,0,0,0,5,0
609,14910,18,19,5,0,0,0,8,0
610,14175,1,1,4,1,1,0,9,2
611,15348,17,19,5,1,0,0,7,1
612,19442,6,13,2,0,1,1,2,2
613,16190,14,15,4,0,0,0,5,0
614,11256,9,6,5,0,0,0,5,0
615,13376,9,13,1,0,0,0,8,0
616,15645,3,11,1,0,0,0,5,0
617,13486,2,17,4,1,0,1,4,2
618,13584,1,7,4,0,0,0,5,0
619,19588,15,7,4,0,1,0,7,1
620,18053,13,12,1,0,0,0,7,0
621,13330,4,1,5,1,0,0,9,1
622,12703,1,6,4,0,0,0,8,0
623,18662,3,42,1,0,1,0,8,1
624,18120,7,0,4,0,0,0,3,0
625,17114,4,4,4,0,1,0,1,1
626,11353,12,4,4,0,0,0,7,0
627,15063,48,12,1,0,0,0,1,0
628,18549,1,1,5,0,0,0,6,0
629,17575,4,11,1,0,0,0,0,0
630,10667,4,1,1,0,0,0,3,0
631,14468,2,1,4,0,0,0,2,0
632,19337,1,15,3,0,0,0,9,0
633,16819,0,4,3,0,1,0,5,1
634,13719,17,45,3,0,0,1,1,1
635,12745,4,0,1,0,0,0,5,0
636,17483,5,7,4,0,0,0,8,0
637,10539,19,1,3,1,0,0,9,1
638,14964,11,5,2,0,0,1,2,1
639,14835,1,75,2,0,0,0,9,0
640,13775,6,26,2,0,0,0,6,0
641,16042,4,0,5,0,0,0,8,0
642,17102,12,9,4,0,0,1,8,1
643,17312,10,12,1,0,0,0,9,0
644,15320,9,2,1,0,0,0,8,0
645,16132,3,1,4,0,1,0,0,1
646,17891,13,28,5,1,0,1,7,2
647,12779,0,41,4,0,1,0,3,1
648,10924,1,57,5,0,0,0,10,0
649,11581,3,18,3,1,1,0,5,2
650,17714,0,13,3,0,0,0,6,0
651,13324,2,5,5,0,0,0,4,0
652,15713,14,2,4,0,0,0,3,0
653,17026,23,0,3,1,0,1,7,2
654,10255,2,14,4,0,0,0,7,0
655,14804,2,18,3,0,0,1,6,1
656,11838,2,21,4,0,0,0,2,0
657,10009,2,29,4,0,0,0,8,0
658,12871,0,25,2,0,0,0,0,0
659,18989,20,99,5,0,1,0,6,1
660,17409,1,3,1,0,0,0,8,0
